threshold,period,symbol,cost,samples,mean_return,median_return,trimmed_mean_5,winsorized_mean_5,win_rate,profit_factor,q05,q10,q90,q95
2.5,2024-09,ETHUSDT,0.0004,60,0.00110980578196783,0.0006408921000938,0.0008083808344089464,0.0009346965309797606,0.5333333333333333,1.5778052536480514,-0.008763647727324308,-0.00700190015122621,0.010332140702426832,0.012906723327558482
2.5,2024-09,ETHUSDT,0.0006,60,0.00090980578196783,0.0004408921000938001,0.0006083808344089464,0.0007346965309797604,0.5333333333333333,1.4517273170769966,-0.008963647727324308,-0.007201900151226209,0.010132140702426832,0.012706723327558482
2.5,2024-09,SOLUSDT,0.0004,66,0.00022749435065104427,-0.000538309564571182,8.131555630364375e-05,0.0001922228983293018,0.4393939393939394,1.0896339138176216,-0.009608358101973725,-0.0071258063277417,0.008868874192328301,0.012198799351312024
2.5,2024-09,SOLUSDT,0.0006,66,2.7494350651044345e-05,-0.0007383095645711818,-0.00011868444369635619,-7.777101670698026e-06,0.4393939393939394,1.0103746002404392,-0.009808358101973724,-0.0073258063277417,0.0086688741923283,0.011998799351312026
2.5,2024-10,BNBUSDT,0.0004,52,-6.829375535750965e-05,-0.00054569014824885,-0.00021595260347442502,-0.00014795305181219186,0.4423076923076923,0.9609786168005874,-0.006126640080114335,-0.00460382382837881,0.0036544900504460595,0.00779143791126501
2.5,2024-10,BNBUSDT,0.0006,52,-0.00026829375535750963,-0.0007456901482488499,-0.00041595260347442476,-0.0003479530518121919,0.4423076923076923,0.8558878230941377,-0.006326640080114335,-0.00480382382837881,0.00345449005044606,0.00759143791126501
2.5,2024-10,BTCUSDT,0.0004,78,0.00018359066631878676,-0.0005996417344035501,0.00010230343324246613,0.00020350537702331937,0.47435897435897434,1.0918793873757306,-0.0064513560714535,-0.0054445501016282295,0.007005891925681538,0.009230037420266539
2.5,2024-10,BTCUSDT,0.0006,78,-1.6409333681213084e-05,-0.0007996417344035499,-9.769656675753378e-05,3.505377023319639e-06,0.46153846153846156,0.9921997348822861,-0.0066513560714535,-0.005644550101628229,0.006805891925681538,0.009030037420266538
2.5,2024-10,ETHUSDT,0.0004,70,0.00041119074188882145,-8.53315817495002e-06,0.000320845105241875,0.0003562981951363291,0.4857142857142857,1.211455266751498,-0.007052054359644915,-0.00601792046986083,0.00711137698177782,0.008531984012514825
2.5,2024-10,ETHUSDT,0.0006,70,0.00021119074188882169,-0.00020853315817494995,0.00012084510524187518,0.0001562981951363293,0.4857142857142857,1.1031490522282,-0.0072520543596449145,-0.00621792046986083,0.00691137698177782,0.008331984012514825
2.5,2024-10,SOLUSDT,0.0004,69,0.0008066664267848407,0.0004362339453802,0.0006440170493974713,0.0007176453722017062,0.5217391304347826,1.3571357351255529,-0.009205111769204619,-0.00740051515374894,0.00837978889616874,0.0120460043504116
2.5,2024-10,SOLUSDT,0.0006,69,0.0006066664267848406,0.0002362339453802001,0.00044401704939747147,0.000517645372201706,0.5072463768115942,1.2576701955022511,-0.009405111769204619,-0.007600515153748939,0.00817978889616874,0.0118460043504116
2.5,2024-11,BNBUSDT,0.0004,80,4.06638885210823e-05,0.0015741842254242502,0.0002940902574478332,0.00010675249049954972,0.55,1.014205408926581,-0.014532225326472024,-0.009811296111793419,0.008855868566850755,0.011373650502402017
2.5,2024-11,BNBUSDT,0.0006,80,-0.00015933611147891726,0.00137418422542425,9.409025744783363e-05,-9.324750950045029e-05,0.5375,0.9460694662872245,-0.014732225326472025,-0.01001129611179342,0.008655868566850754,0.011173650502402016
2.5,2024-11,BTCUSDT,0.0004,78,-0.00030478117224477173,-0.00025736446813315,-0.00027745664641359706,-0.0003817281680376115,0.47435897435897434,0.8864852344496212,-0.011849361913653053,-0.0081614127139751,0.00672137009848713,0.009435095339352929
2.5,2024-11,BTCUSDT,0.0006,78,-0.0005047811722447716,-0.00045736446813314995,-0.000477456646413597,-0.0005817281680376115,0.4358974358974359,0.8193375690347543,-0.012049361913653054,-0.0083614127139751,0.00652137009848713,0.009235095339352928
