period,cost,samples,mean_return,median_return,win_rate,profit_factor,max_losing_streak
2025-01,0.0008,55,0.0017670765752271073,0.0032509010749918,0.5454545454545454,1.4838130738015114,5
2025-02,0.0008,59,0.00092838970956208,-0.0022304787335495,0.3898305084745763,1.2470583770966217,8
2025-03,0.0008,39,0.00023989437718356822,-0.0022754850158513,0.3333333333333333,1.0471314783534111,10
2025-04,0.0008,41,0.0030551387327100153,0.0006099521991814,0.5365853658536586,1.8094610446034578,4
2025-05,0.0008,66,-4.874974679107592e-05,-0.00035578965754190007,0.4696969696969697,0.9808217168317324,6
2025-06,0.0008,44,0.0018768027450290993,0.0009990589752580498,0.5909090909090909,2.0439191473199716,4
2025-07,0.0008,48,-0.00043906187706420867,-0.0014476483220071498,0.3333333333333333,0.8237747024073256,10
2025-08,0.0008,39,0.002872232843992436,0.0006618504196925999,0.5128205128205128,2.113022986016239,4
2025-09,0.0008,43,-0.0011449257318537603,-0.0012247100342801,0.4186046511627907,0.587864980135348,8
2025-10,0.0008,65,-0.0023058479771045615,-0.0027020360843415,0.36923076923076925,0.5561593208261999,9
2025-11,0.0008,66,0.001803022175452645,0.00038565901917185,0.5303030303030303,1.747373567569745,7
2025-12,0.0008,70,-0.0015547052393011373,-0.0020984000196591,0.32857142857142857,0.538239613004206,9
2026-01,0.0008,72,-0.0004311729354240377,-0.00163373377067895,0.4305555555555556,0.877090371442859,7
2026-02,0.0008,73,0.0013529477844445724,-9.831595830000009e-05,0.4794520547945205,1.429237571025157,7
2026-03,0.0008,68,0.00015928235750624462,-0.0012440869878063499,0.4117647058823529,1.0439058427093528,7
2026-04,0.0008,51,-0.0002895092895668407,-0.0007957002377770632,0.37254901960784315,0.8946933717294634,13
2026-05,0.0008,61,-0.0001518035673976018,-0.0010333722287047,0.39344262295081966,0.9153359016301684,9
2026-06,0.0008,96,-8.058951078307186e-05,-0.0019811710847029004,0.4270833333333333,0.9782632766953113,9
2026-07,0.0008,63,-0.0013383968240318702,-0.0013427408412483,0.31746031746031744,0.4956932657999685,9
