symbol,period,year,open_time,event,ret_5m,return_z,range_ratio,volume_ratio_7d,close_position,future_long_1,future_short_1,future_long_3,future_short_3,future_long_6,future_short_6,future_long_12,future_short_12,entry_time,exit_time,gross_return,net_return_4bps,net_return_5bps,net_return_8bps
SOLUSDT,2026-02,2026,2026-02-01 23:10:00+00:00,EXTREME_UP,0.0124620060790274,4.748582373337639,9.79017543081574,17.45819108979572,0.7951807228915695,-0.0061048839071257,0.0061423824388278,0.0058046437149719,-0.0057711442786069,0.0165132105684546,-0.0162449542187652,0.0117093674939952,-0.0115738450885349,2026-02-01 23:15:00+00:00,2026-02-01 23:45:00+00:00,0.0165132105684546,0.0161132105684546,0.0159132105684546,0.0157132105684546
BNBUSDT,2026-02,2026,2026-02-02 03:45:00+00:00,EXTREME_UP,0.0254632478632479,13.52745079702458,16.291120334437935,14.816317076660011,0.9843587069864466,-0.0012001920307248,0.0012016342225427,-0.0040406465034404,0.0040570395661778,-0.0003467221422094,0.0003468424001493,0.004894116391956,-0.0048702806714882,2026-02-02 03:50:00+00:00,2026-02-02 04:20:00+00:00,-0.0003467221422094,-0.0007467221422094001,-0.0009467221422094,-0.0011467221422094
BTCUSDT,2026-02,2026,2026-02-02 03:45:00+00:00,EXTREME_UP,0.0170702218123521,9.574159738506362,10.571440027868688,13.90331143292858,0.9916628770653328,0.0010451111073035,-0.0010440199904153,-0.0024249740699103,0.0024308688638725,0.0014800249350592,-0.0014778376984156,0.0002833529483863,-0.0002832726822366,2026-02-02 03:50:00+00:00,2026-02-02 04:20:00+00:00,0.0014800249350592,0.0010800249350592,0.0008800249350592,0.0006800249350591999
ETHUSDT,2026-02,2026,2026-02-02 03:45:00+00:00,EXTREME_UP,0.0224871246408211,8.225024097453316,10.404823373585169,10.47968109610646,0.9105263157894764,0.0010684336224389,-0.0010672932904024,-0.0058270035375028,0.0058611565172628,0.0026441487546911,-0.0026371756699276,0.0087853974752645,-0.0087088864462671,2026-02-02 03:50:00+00:00,2026-02-02 04:20:00+00:00,0.0026441487546911,0.0022441487546910996,0.0020441487546911,0.0018441487546910999
BNBUSDT,2026-02,2026,2026-02-02 06:15:00+00:00,EXTREME_UP,0.0082733033634836,4.117073183959988,6.590291191724266,5.778269613706319,0.9218362282878412,-0.0029678770949721,0.0029767116091752,-0.0125966910184787,0.0127573919429861,0.0019472496776966,-0.0019434652655846,0.0107031585732704,-0.0105898141135515,2026-02-02 06:20:00+00:00,2026-02-02 06:50:00+00:00,0.0019472496776966,0.0015472496776966001,0.0013472496776966002,0.0011472496776966002
SOLUSDT,2026-02,2026,2026-02-02 06:15:00+00:00,EXTREME_UP,0.0121740894795576,4.286993816808934,5.431638550366576,5.381153023649604,0.9930069930069896,-0.0030072173215718,0.0030162879549568,-0.0124298315958301,0.0125862768980917,0.0007016840417,-0.0007011920264449,0.0151363271852444,-0.0149106349363088,2026-02-02 06:20:00+00:00,2026-02-02 06:50:00+00:00,0.0007016840417,0.00030168404169999993,0.0001016840417,-9.831595830000009e-05
ETHUSDT,2026-02,2026,2026-02-03 15:25:00+00:00,EXTREME_UP,0.0129741048000213,4.206465427794365,7.366459743617897,11.326099009458265,0.642500499300978,0.0019754830775671,-0.0019715882383661,-0.0056735176245361,0.0057058900925399,0.0039466052653382,-0.0039310908016817,-0.0180104748572899,0.018340801399763,2026-02-03 15:30:00+00:00,2026-02-03 16:00:00+00:00,0.0039466052653382,0.0035466052653381997,0.0033466052653382,0.0031466052653382
SOLUSDT,2026-02,2026,2026-02-03 15:25:00+00:00,EXTREME_UP,0.0128090557044981,4.187471331609978,7.181372012936621,10.213195947199868,0.6620370370370369,0.0014705882352941,-0.0014684287812041,-0.0066666666666667,0.0067114093959732,0.0050980392156863,-0.0050721810378462,-0.0168627450980392,0.0171519744714798,2026-02-03 15:30:00+00:00,2026-02-03 16:00:00+00:00,0.0050980392156863,0.0046980392156863,0.0044980392156863,0.0042980392156863
SOLUSDT,2026-02,2026,2026-02-04 01:00:00+00:00,EXTREME_UP,0.0130745658835547,4.14759128557537,4.208449965242271,2.4179208418715463,0.9770992366412312,-0.0007057874571486,0.0007062859449098,-0.0009074410163339,0.0009082652134424,0.0034281105061502,-0.0034163987138262,-0.0044363783020771,0.0044561474579705,2026-02-04 01:05:00+00:00,2026-02-04 01:35:00+00:00,0.0034281105061502,0.0030281105061502,0.0028281105061502003,0.0026281105061502002
ETHUSDT,2026-02,2026,2026-02-04 14:35:00+00:00,EXTREME_UP,0.0135587162521306,4.058814012566287,6.370880547743176,13.459450965402995,0.7127547804160504,-0.0063925495603426,0.006433677160446,-0.0090327539049255,0.009115088253945,-0.0140057415402699,0.014204688739414,-0.0273921200750467,0.0281635802469133,2026-02-04 14:40:00+00:00,2026-02-04 15:10:00+00:00,-0.0140057415402699,-0.0144057415402699,-0.0146057415402699,-0.0148057415402699
