year,event,side,horizon,minutes,cost,samples,mean_return,median_return,win_rate,profit_factor
2025,REJECT_DOWN_4H,LONG,12,60,0.0002,10344,-0.0002996077947571513,6.602686301735455e-05,0.507153905645785,0.8917033386613704
2025,REJECT_DOWN_4H,LONG,12,60,0.0004,10344,-0.0004996077947571514,-0.00013397313698264545,0.48588553750966745,0.825753511648798
2025,REJECT_UP_1H,SHORT,1,5,0.0,23981,2.5008253021996145e-05,4.6272629519394926e-05,0.514031941954047,1.0397262864940529
2025,REJECT_UP_1H,SHORT,1,5,0.0002,23981,-0.00017499174697800388,-0.00015372737048060508,0.44389308202326844,0.7614716042806009
2025,REJECT_UP_1H,SHORT,1,5,0.0004,23981,-0.0003749917469780039,-0.0003537273704806051,0.3762562028272382,0.5597538848040671
2025,REJECT_UP_1H,SHORT,3,15,0.0,23981,1.5702422821101973e-05,7.030535961183304e-05,0.514031941954047,1.0144485042961349
2025,REJECT_UP_1H,SHORT,3,15,0.0002,23981,-0.000184297577178898,-0.00012969464038816697,0.47362495308786123,0.8448545897119978
2025,REJECT_UP_1H,SHORT,3,15,0.0004,23981,-0.0003842975771788981,-0.000329694640388167,0.43300946582711314,0.7037654337496513
2025,REJECT_UP_1H,SHORT,6,30,0.0,23981,2.6187698709446975e-05,9.658258615963256e-05,0.5130311496601476,1.017354640789606
2025,REJECT_UP_1H,SHORT,6,30,0.0002,23981,-0.00017381230129055297,-0.00010341741384036745,0.48571785997247824,0.8919777546064912
2025,REJECT_UP_1H,SHORT,6,30,0.0004,23981,-0.00037381230129055306,-0.00030341741384036746,0.45623618698136026,0.7820287187465885
2025,REJECT_UP_1H,SHORT,12,60,0.0,23981,1.8309771333101384e-05,5.145356315927607e-05,0.5039823193361411,1.0084915776900802
2025,REJECT_UP_1H,SHORT,12,60,0.0002,23981,-0.0001816902286668985,-0.00014854643684072394,0.48354947666902964,0.9195112194060471
2025,REJECT_UP_1H,SHORT,12,60,0.0004,23981,-0.00038169022866689863,-0.00034854643684072395,0.4619073433134565,0.8384580135880816
2025,REJECT_UP_4H,SHORT,1,5,0.0,10679,7.717244604413672e-05,0.0001156776846551466,0.5352561101226707,1.1131074602423623
2025,REJECT_UP_4H,SHORT,1,5,0.0002,10679,-0.0001228275539558633,-8.43223153448534e-05,0.47129881075007024,0.8427961566923929
2025,REJECT_UP_4H,SHORT,1,5,0.0004,10679,-0.0003228275539558633,-0.0002843223153448534,0.40724786965071635,0.6387609383312495
2025,REJECT_UP_4H,SHORT,3,15,0.0,10679,4.666813973125895e-05,0.00015814027041982648,0.5290757561569436,1.0398925985383654
2025,REJECT_UP_4H,SHORT,3,15,0.0002,10679,-0.00015333186026874105,-4.185972958017353e-05,0.4913381402753067,0.8790450237254726
