feature,year,event,bucket,samples,mean_return,median_return,win_rate,profit_factor,q10,q90
rejection_wick_ratio,2024,REJECT_DOWN_4H,Q3,2363,8.534620015026854e-05,0.0005517223042050823,0.5459162082099027,1.0298949261515264,-0.00881918631662353,0.008255886135562874
rejection_wick_ratio,2024,REJECT_DOWN_4H,Q4,2572,0.00035466392510619577,0.0007239295392540424,0.5610419906687403,1.1416127170343564,-0.0081022064132393,0.007969883408209123
rejection_wick_ratio,2024,REJECT_UP_4H,Q1,2795,0.00017726418049468192,0.0005463651540444925,0.5531305903398926,1.0739355940416782,-0.007898806604310481,0.007352193746571121
rejection_wick_ratio,2024,REJECT_UP_4H,Q2,2674,0.0002406569561874929,0.0005998316952824378,0.5534779356768885,1.1056175745273602,-0.006896352265723216,0.007279459521024763
rejection_wick_ratio,2024,REJECT_UP_4H,Q3,2677,1.8364155702635104e-07,0.00032631797809923313,0.5319387373926037,1.00007416447051,-0.007736019212313172,0.007069702616189583
rejection_wick_ratio,2024,REJECT_UP_4H,Q4,2612,7.915785250739828e-06,0.00020169407093562075,0.5149310872894334,1.0033665834270737,-0.007220347345427513,0.006899940857019549
rejection_wick_ratio,2025,REJECT_DOWN_4H,Q1,2708,-8.863182260620569e-05,0.00030701607116168095,0.5228951255539144,0.9679179030056229,-0.008272899469729944,0.007979026437742
rejection_wick_ratio,2025,REJECT_DOWN_4H,Q2,2548,-0.00035597998722061036,3.6311759320062365e-05,0.5027472527472527,0.8772072740948247,-0.009056330726785033,0.0077711062840694735
rejection_wick_ratio,2025,REJECT_DOWN_4H,Q3,2585,-1.8072677400818492e-05,0.0003845287600046099,0.5404255319148936,0.9930935893822702,-0.008208686046594724,0.007604346493820112
rejection_wick_ratio,2025,REJECT_DOWN_4H,Q4,2503,6.529237921248963e-05,0.0003251795556677983,0.5341590091889732,1.027312216639572,-0.008111689881501526,0.007016614178744221
rejection_wick_ratio,2025,REJECT_UP_4H,Q1,2663,0.00010125138165037515,0.00036790035920453157,0.5403680060082614,1.043485344012382,-0.007385084829712563,0.007136830168356801
rejection_wick_ratio,2025,REJECT_UP_4H,Q2,2635,1.9684124517499427e-05,0.00028750739304728157,0.5256166982922201,1.008364561163425,-0.007214861334974176,0.0069485248853830206
