fast_span,slow_span,adx_threshold,hold_bars,split,symbol,samples,mean_return,median_return,win_rate,profit_factor,max_losing_streak,q10,q90,worst_trade,best_trade
48,96,20,48,confirmation,BNBUSDT,758,-0.0008737917832280572,-0.000899954642244804,0.4419525065963061,0.7619290155433771,8,-0.010919797767269144,0.009247691210260107,-0.039342287545709856,0.06593549811507786
48,96,20,48,confirmation,BTCUSDT,748,-0.0007878016043762441,-0.0011295692564180053,0.42112299465240643,0.7887150418832866,8,-0.011124848823904097,0.009235044584002873,-0.05320156201414601,0.05446568362012698
48,96,20,48,confirmation,ETHUSDT,749,8.550566380717037e-05,-0.0003628491581145304,0.4753004005340454,1.0201132666058497,10,-0.01385406101319393,0.013526636132658287,-0.049685334695963215,0.06919592999515693
48,96,20,48,confirmation,SOLUSDT,757,-0.0005664833637342772,-0.0007202935161794815,0.4610303830911493,0.88866203235131,9,-0.016322542384002478,0.013753024827319302,-0.06157898230088506,0.06939166765861209
48,96,20,96,development,BNBUSDT,755,-0.0014565419439807237,-0.0013149788059854776,0.46622516556291393,0.789163045020672,7,-0.019089916104058545,0.0178769547501789,-0.10155068217613235,0.1037483454784374
48,96,20,96,development,BTCUSDT,762,-7.76385762548701e-06,-0.0004380282492521642,0.4776902887139108,0.9985567152367985,8,-0.016843988114929983,0.016393542919255627,-0.05399085606231031,0.09065522686543907
48,96,20,96,development,ETHUSDT,756,-0.0015474227220696358,-0.0010252261736594208,0.46164021164021163,0.7916269022742728,9,-0.020265007883752694,0.01884460572599327,-0.13635514651515762,0.12791234777976718
48,96,20,96,development,SOLUSDT,767,-0.0004458437126294015,-0.0007409790998485593,0.48370273794002605,0.953143228692578,13,-0.029030559603407922,0.028746251854734003,-0.11907323969950075,0.17258220984953937
48,96,20,96,validation,BNBUSDT,752,-0.00014842984924632457,-0.0007583981054029681,0.4720744680851064,0.9745670590208254,14,-0.01778509414351683,0.016911820216775952,-0.06739423316780675,0.11375254161259833
48,96,20,96,validation,BTCUSDT,758,-0.0006586404957436165,-0.001188637913793377,0.4472295514511873,0.8704155978168654,8,-0.014865297560401168,0.014256442823042904,-0.08011877619140713,0.07065298473044838
48,96,20,96,validation,ETHUSDT,755,-0.001165334734853361,-0.0006957093220879112,0.4794701986754967,0.857915162923369,9,-0.023518528119334792,0.023112280481874647,-0.16327552025533548,0.15810163286831908
48,96,20,96,validation,SOLUSDT,758,-0.0008735155259845985,-0.0008455903841295792,0.4868073878627968,0.9124160665598737,8,-0.030354631584531964,0.028005146836502497,-0.11013209179994073,0.1897008406864446
48,96,20,96,confirmation,BNBUSDT,446,-0.0004515837833254369,-0.0010491389540013378,0.45739910313901344,0.9111096368609987,9,-0.014716711653500702,0.01537681452981431,-0.0491908024552495,0.0863777344096514
48,96,20,96,confirmation,BTCUSDT,445,0.00017393814087862363,-0.0005410519490226079,0.4764044943820225,1.0372986366737604,6,-0.015051131987520259,0.015315407450815612,-0.053668309965458974,0.06305688933822644
48,96,20,96,confirmation,ETHUSDT,442,-0.0006754216883729087,-0.00170613814247551,0.4343891402714932,0.8930842118583702,7,-0.018707461075781584,0.017607944703072777,-0.06989414952109259,0.08536488654864398
48,96,20,96,confirmation,SOLUSDT,448,-0.0005529010772203248,-0.000729257633167068,0.47767857142857145,0.9243821773536484,9,-0.021955025353424203,0.022240143282132377,-0.10892346290513628,0.05930783410138256
48,96,25,48,development,BNBUSDT,1092,-0.0005802232263454176,-0.0011618781720796438,0.43956043956043955,0.880193292056614,12,-0.013944510389949937,0.013299266506841823,-0.08029188004993999,0.11755281734591187
48,96,25,48,development,BTCUSDT,1098,-0.0003085105624861941,-0.0009217701302934417,0.453551912568306,0.9246635672607147,13,-0.011629481254123485,0.013045957817407597,-0.06739256603841388,0.07202538936619267
48,96,25,48,development,ETHUSDT,1146,-0.0006784978281796945,-0.0013955141560100352,0.41710296684118675,0.8604956408046798,13,-0.014012637927555926,0.01384750809895523,-0.06725743142835557,0.13814298940621378
48,96,25,48,development,SOLUSDT,1106,-0.0017824917138568876,-0.0013971033009455118,0.4475587703435805,0.7726770927975533,8,-0.02167467786506184,0.020155751069159056,-0.17001373022787908,0.0942326482677626
