hypothesis,year,horizon,minutes,feature,bucket,cost,samples,mean_return,median_return,win_rate,profit_factor,q10,q90
DOWN_REVERSAL_LONG,2024,6,30,volume_ratio_7d,Q2,0.0002,1649,-0.00012350931662617517,0.00027649301143579995,0.5191024863553669,0.9523012119893978,-0.00804321399560158,0.007261569948398922
DOWN_REVERSAL_LONG,2024,6,30,volume_ratio_7d,Q2,0.0004,1649,-0.00032350931662617524,7.649301143579997e-05,0.5033353547604609,0.8796121975290421,-0.00824321399560158,0.007061569948398921
DOWN_REVERSAL_LONG,2024,6,30,volume_ratio_7d,Q3,0.0,1602,2.170809847282907e-06,0.0003244199404213,0.5224719101123596,1.0008326089000288,-0.00796816252424706,0.007723224866367473
DOWN_REVERSAL_LONG,2024,6,30,volume_ratio_7d,Q3,0.0002,1602,-0.00019782919015271704,0.00012441994042129999,0.5081148564294632,0.9268414751120493,-0.00816816252424706,0.007523224866367474
DOWN_REVERSAL_LONG,2024,6,30,volume_ratio_7d,Q3,0.0004,1602,-0.00039782919015271713,-7.558005957870002e-05,0.49563046192259674,0.8581084164062616,-0.008368162524247059,0.007323224866367473
DOWN_REVERSAL_LONG,2024,6,30,volume_ratio_7d,Q4,0.0,1517,0.0007518073651613317,0.0008840564143663,0.5576796308503625,1.2765087070591488,-0.008402509324957121,0.00956144270507835
DOWN_REVERSAL_LONG,2024,6,30,volume_ratio_7d,Q4,0.0002,1517,0.0005518073651613317,0.0006840564143663,0.5471324983520105,1.196479011417084,-0.008602509324957121,0.00936144270507835
DOWN_REVERSAL_LONG,2024,6,30,volume_ratio_7d,Q4,0.0004,1517,0.00035180736516133166,0.00048405641436629997,0.5306526038233356,1.121291482953887,-0.00880250932495712,0.00916144270507835
DOWN_REVERSAL_LONG,2025,6,30,volume_ratio_7d,Q1,0.0,1708,1.7485839849404038e-05,0.00020946721501449998,0.5269320843091335,1.009136692159913,-0.006009857861446089,0.00591355233462877
DOWN_REVERSAL_LONG,2025,6,30,volume_ratio_7d,Q1,0.0002,1708,-0.0001825141601505959,9.467215014499989e-06,0.5005854800936768,0.9092442600260854,-0.006209857861446089,0.00571355233462877
DOWN_REVERSAL_LONG,2025,6,30,volume_ratio_7d,Q1,0.0004,1708,-0.00038251416015059594,-0.00019053278498550003,0.4806791569086651,0.8189356033405781,-0.0064098578614460895,0.00551355233462877
DOWN_REVERSAL_LONG,2025,6,30,volume_ratio_7d,Q2,0.0,1540,-0.00013739719661462395,7.22708734239852e-05,0.5064935064935064,0.9445121737213026,-0.00772539494843262,0.007153946856174251
DOWN_REVERSAL_LONG,2025,6,30,volume_ratio_7d,Q2,0.0002,1540,-0.00033739719661462396,-0.00012772912657601482,0.4896103896103896,0.8690629582534976,-0.00792539494843262,0.006953946856174251
DOWN_REVERSAL_LONG,2025,6,30,volume_ratio_7d,Q2,0.0004,1540,-0.000537397196614624,-0.0003277291265760148,0.4662337662337662,0.7995752345247596,-0.00812539494843262,0.006753946856174251
DOWN_REVERSAL_LONG,2025,6,30,volume_ratio_7d,Q3,0.0,1551,0.000242743047180305,0.0003709568692835,0.5299806576402321,1.099655460372894,-0.0073875429784672,0.007677835968882
