feature,event,bucket,cost,feature_min,feature_median,feature_max,samples,mean_return,median_return,win_rate,profit_factor,q10,q90
rejection_wick_ratio,REJECT_DOWN_4H,Q2,0.0002,0.41134751773045414,0.5298507462686662,0.6408966148215895,6469,-7.139921078331608e-05,0.0002615160397067886,0.5228010511671046,0.9738079838977947,-0.008379306085174298,0.007711608601462471
rejection_wick_ratio,REJECT_DOWN_4H,Q2,0.0004,0.41134751773045414,0.5298507462686662,0.6408966148215895,6469,-0.00027139921078331606,6.151603970678854e-05,0.5057968774153656,0.9038686628026162,-0.008579306085174297,0.0075116086014624705
rejection_wick_ratio,REJECT_DOWN_4H,Q3,0.0,0.6409266409266208,0.7459534455205384,0.8449074074074409,6358,1.9142556414244785e-05,0.00044155163453718504,0.5423089021704939,1.007202821090299,-0.008342615056782254,0.007642195343762138
rejection_wick_ratio,REJECT_DOWN_4H,Q3,0.0002,0.6409266409266208,0.7459534455205384,0.8449074074074409,6358,-0.00018085744358575505,0.00024155163453718504,0.5250078641082101,0.9342561701253908,-0.008542615056782254,0.007442195343762138
rejection_wick_ratio,REJECT_DOWN_4H,Q3,0.0004,0.6409266409266208,0.7459534455205384,0.8449074074074409,6358,-0.0003808574435857551,4.1551634537185026e-05,0.5051903114186851,0.8662646431516189,-0.008742615056782253,0.0072421953437621376
rejection_wick_ratio,REJECT_DOWN_4H,Q4,0.0,0.8450184501844771,0.9363192655081349,1.0,6432,0.0001680351748055331,0.0004581584801524041,0.5460199004975125,1.0717283673856783,-0.00767248332679914,0.00715050613766951
rejection_wick_ratio,REJECT_DOWN_4H,Q4,0.0002,0.8450184501844771,0.9363192655081349,1.0,6432,-3.196482519446668e-05,0.00025815848015240414,0.5259639303482587,0.9868749546925999,-0.007872483326799141,0.006950506137669511
rejection_wick_ratio,REJECT_DOWN_4H,Q4,0.0004,0.8450184501844771,0.9363192655081349,1.0,6432,-0.00023196482519446693,5.8158480152404105e-05,0.505907960199005,0.9083950831976068,-0.00807248332679914,0.00675050613766951
rejection_wick_ratio,REJECT_UP_4H,Q1,0.0,0.0012224938875572034,0.27021524141941067,0.41132075471699164,6761,0.00017954225334304618,0.0004239345753331847,0.5472563230291377,1.0798014734422225,-0.007104416879963327,0.007046795499605851
rejection_wick_ratio,REJECT_UP_4H,Q1,0.0002,0.0012224938875572034,0.27021524141941067,0.41132075471699164,6761,-2.0457746656953602e-05,0.00022393457533318467,0.526697234136962,0.9912666727998674,-0.007304416879963326,0.006846795499605852
rejection_wick_ratio,REJECT_UP_4H,Q1,0.0004,0.0012224938875572034,0.27021524141941067,0.41132075471699164,6761,-0.0002204577466569538,2.3934575333184663e-05,0.5025883745008135,0.9096325116284182,-0.007504416879963327,0.006646795499605851
rejection_wick_ratio,REJECT_UP_4H,Q2,0.0,0.41133069828723534,0.5269308807341735,0.6409090909089453,6636,0.00021589209724273825,0.0005143749316963708,0.5479204339963833,1.098544153142671,-0.006832580363427709,0.00696803107430044
rejection_wick_ratio,REJECT_UP_4H,Q2,0.0002,0.41133069828723534,0.5269308807341735,0.6409090909089453,6636,1.5892097242738438e-05,0.00031437493169637085,0.5292344786015672,1.00696072365061,-0.007032580363427709,0.006768031074300441
rejection_wick_ratio,REJECT_UP_4H,Q2,0.0004,0.41133069828723534,0.5269308807341735,0.6409090909089453,6636,-0.00018410790275726174,0.00011437493169637081,0.5108499095840868,0.9226130299195608,-0.0072325803634277095,0.00656803107430044
rejection_wick_ratio,REJECT_UP_4H,Q3,0.0,0.6409295352323768,0.7489154013014947,0.8449396471680822,6747,-6.743903046700562e-05,0.00020100502512554463,0.5190455017044613,0.9714268720995624,-0.007421785631621236,0.006738601029836212
rejection_wick_ratio,REJECT_UP_4H,Q3,0.0002,0.6409295352323768,0.7489154013014947,0.8449396471680822,6747,-0.0002674390304670054,1.0050251255446245e-06,0.5002223210315696,0.891209034626903,-0.007621785631621236,0.006538601029836212
rejection_wick_ratio,REJECT_UP_4H,Q3,0.0004,0.6409295352323768,0.7489154013014947,0.8449396471680822,6747,-0.00046743903046700554,-0.00019899497487445539,0.4784348599377501,0.8174454863979365,-0.007821785631621236,0.006338601029836212
rejection_wick_ratio,REJECT_UP_4H,Q4,0.0,0.8449460255152189,0.938636363636369,1.0,6673,3.131230412479579e-05,0.000243546030199715,0.527049303161996,1.0145309688331225,-0.006563925729471464,0.006304179598527782
rejection_wick_ratio,REJECT_UP_4H,Q4,0.0002,0.8449460255152189,0.938636363636369,1.0,6673,-0.00016868769587520402,4.354603019971498e-05,0.5057695189569908,0.9250749493416107,-0.006763925729471464,0.006104179598527782
rejection_wick_ratio,REJECT_UP_4H,Q4,0.0004,0.8449460255152189,0.938636363636369,1.0,6673,-0.0003686876958752042,-0.00015645396980028503,0.48568859583395774,0.8432689786984364,-0.006963925729471464,0.005904179598527782
