breakout_window,trend_ema_span,stop_atr_multiple,split,symbol,samples,mean_return,median_return,win_rate,profit_factor,max_losing_streak,q10,q90,worst_trade,best_trade,max_compounded_drawdown
24,200,2.0,validation,SOLUSDT,220,-0.0007739321628804858,-0.021196106530574698,0.31363636363636366,0.9582500060109956,18,-0.03538347821083245,0.06004373825691309,-0.0619704640923678,0.09258555119513205,0.5739643869756011
24,200,2.0,confirmation,BNBUSDT,129,0.0011378503629631887,-0.010782853060753283,0.29457364341085274,1.121403569678091,12,-0.0178031586393115,0.03427211851858105,-0.029596746043575383,0.08677398303220867,0.2041963630469874
24,200,2.0,confirmation,BTCUSDT,125,0.000586009741535433,-0.011171795447261944,0.312,1.060263818630054,11,-0.018571893008619722,0.03558898646629891,-0.02745027097993542,0.08176878294604965,0.26386168292244405
24,200,2.0,confirmation,ETHUSDT,119,-0.0005710604289957289,-0.014916876075983531,0.31092436974789917,0.9575125150960935,11,-0.02672372285278175,0.04452703658949442,-0.05315469529065327,0.08532973787905744,0.4346095102295592
24,200,2.0,confirmation,SOLUSDT,134,0.0020244486313872366,-0.016413243040652403,0.3208955223880597,1.1439113401458234,7,-0.026285949084244264,0.05266521702741673,-0.07524330539964759,0.12890712969678803,0.240834555012447
72,100,1.5,development,BNBUSDT,187,-5.598538232973828e-05,-0.010959968570558653,0.2994652406417112,0.9943590852701656,13,-0.018945384953149277,0.03558964680084557,-0.03907296522322186,0.07335319024931801,0.24206421954265533
72,100,1.5,development,BTCUSDT,188,-0.00016066089246023215,-0.010340651776935505,0.30851063829787234,0.9817637890139046,9,-0.016594259942480736,0.03071782182166168,-0.03130727780191729,0.05931908835799919,0.2555285865617588
72,100,1.5,development,ETHUSDT,179,0.0027162942906188837,-0.011698908395185347,0.36312849162011174,1.2751921025347919,6,-0.019943466921807505,0.04056302502617178,-0.04045388169640936,0.06723489072789095,0.11798608084108131
72,100,1.5,development,SOLUSDT,185,-0.0013837757547221904,-0.017508607479857673,0.2864864864864865,0.9138044098449367,9,-0.028128938603184505,0.052441481850871295,-0.054986487963342004,0.11851570866227816,0.4833978195606329
72,100,1.5,validation,BNBUSDT,200,-0.00017940948022372643,-0.009170452744410928,0.33,0.9799347509298187,9,-0.018581811173109405,0.02916815124468711,-0.0475841343699573,0.07976973250591739,0.300675505333306
72,100,1.5,validation,BTCUSDT,193,0.0002665241183027665,-0.00802007223834673,0.33678756476683935,1.038209822719169,11,-0.013744761746261313,0.023375338507716382,-0.026012063873332613,0.03858650442102156,0.22478431457429038
72,100,1.5,validation,ETHUSDT,195,0.0014229527078139716,-0.013405000213346074,0.3384615384615385,1.1210363331061333,8,-0.022257939619287837,0.040696199401012274,-0.035256782807244605,0.10502774400076957,0.2229293044471602
72,100,1.5,validation,SOLUSDT,214,-0.003730272142271616,-0.0177349643736054,0.26635514018691586,0.7537485167293834,13,-0.026249703161679447,0.043541327417742116,-0.05150276152039564,0.07576773971956711,0.6978325085506965
72,100,1.5,confirmation,BNBUSDT,118,-0.0004156953820139161,-0.008381483254023946,0.2627118644067797,0.9455264201457888,15,-0.013573549204357415,0.026462766811252068,-0.03384816292676114,0.05571186459591408,0.2328606774233054
