symbol,event,side,horizon,minutes,cost,samples,mean_return,median_return,win_rate,profit_factor
BNBUSDT,REJECT_UP_4H,SHORT,1,5,0.0,7512,-2.867406725123358e-06,2.2655204237720383e-05,0.5062566560170394,0.9949399562527553
BNBUSDT,REJECT_UP_4H,SHORT,1,5,0.0002,7512,-0.0002028674067251234,-0.00017734479576227963,0.4279818956336528,0.6984690045772934
BNBUSDT,REJECT_UP_4H,SHORT,1,5,0.0004,7512,-0.00040286740672512337,-0.00037734479576227964,0.3526357827476038,0.4931897026676672
BNBUSDT,REJECT_UP_4H,SHORT,3,15,0.0,7512,-1.8215638587326357e-05,8.123931239523152e-05,0.5158413205537806,0.9816103509419427
BNBUSDT,REJECT_UP_4H,SHORT,3,15,0.0002,7512,-0.0002182156385873264,-0.00011876068760476849,0.47510649627263046,0.8000223423565981
BNBUSDT,REJECT_UP_4H,SHORT,3,15,0.0004,7512,-0.00041821563858732646,-0.0003187606876047685,0.43184238551650694,0.6516491270226147
BNBUSDT,REJECT_UP_4H,SHORT,6,30,0.0,7512,-5.297665741247236e-05,0.00010458428007076304,0.5157082002129926,0.961743545027719
BNBUSDT,REJECT_UP_4H,SHORT,6,30,0.0002,7512,-0.0002529766574124723,-9.541571992923697e-05,0.4849574014909478,0.8296030554709006
BNBUSDT,REJECT_UP_4H,SHORT,6,30,0.0004,7512,-0.00045297665741247245,-0.000295415719929237,0.4527422790202343,0.715224522107334
BNBUSDT,REJECT_UP_4H,SHORT,12,60,0.0,7512,-2.287602902063623e-05,0.00016819950520907678,0.5187699680511182,0.9879129837171354
BNBUSDT,REJECT_UP_4H,SHORT,12,60,0.0002,7512,-0.0002228760290206361,-3.180049479092323e-05,0.49667199148029817,0.8880636348314846
BNBUSDT,REJECT_UP_4H,SHORT,12,60,0.0004,7512,-0.00042287602902063624,-0.00023180049479092324,0.4728434504792332,0.7980792562365239
BTCUSDT,REJECT_DOWN_1H,LONG,1,5,0.0,15338,1.6328353082927998e-05,4.199242080804577e-05,0.516886165080193,1.0312630333711599
BTCUSDT,REJECT_DOWN_1H,LONG,1,5,0.0002,15338,-0.00018367164691707205,-0.00015800757919195424,0.43467205633068196,0.7070990407851709
BTCUSDT,REJECT_DOWN_1H,LONG,1,5,0.0004,15338,-0.00038367164691707203,-0.00035800757919195425,0.3581953318555222,0.4870360993587251
BTCUSDT,REJECT_DOWN_1H,LONG,3,15,0.0,15338,3.7826701734202254e-05,0.00012057815624366697,0.5299256747946277,1.04333692235623
BTCUSDT,REJECT_DOWN_1H,LONG,3,15,0.0002,15338,-0.00016217329826579777,-7.942184375633304e-05,0.4796583648454818,0.833118648944095
BTCUSDT,REJECT_DOWN_1H,LONG,3,15,0.0004,15338,-0.00036217329826579783,-0.00027942184375633305,0.4267179554048768,0.6651147069400767
BTCUSDT,REJECT_DOWN_1H,LONG,6,30,0.0,15338,6.883750741891249e-05,0.00013674469857682947,0.5248402660059982,1.0571162681312822
BTCUSDT,REJECT_DOWN_1H,LONG,6,30,0.0002,15338,-0.00013116249258108745,-6.325530142317054e-05,0.4908071456513235,0.8994035063507463
BTCUSDT,REJECT_DOWN_1H,LONG,6,30,0.0004,15338,-0.0003311624925810876,-0.00026325530142317055,0.4559264571652106,0.7650125795776579
BTCUSDT,REJECT_DOWN_1H,LONG,12,60,0.0,15338,9.437783931673868e-05,0.0002439581546804792,0.5306428478289217,1.0559917907267204
BTCUSDT,REJECT_DOWN_1H,LONG,12,60,0.0002,15338,-0.00010562216068326124,4.39581546804792e-05,0.5045638284000522,0.9407307280382861
BTCUSDT,REJECT_DOWN_1H,LONG,12,60,0.0004,15338,-0.00030562216068326137,-0.0001560418453195208,0.47887599426261573,0.8377446780106403
