symbol,period,year,era,strategy,cost,samples,mean_return,median_return,win_rate,profit_factor,profit_factor_clean
BTCUSDT,2024-06,2024,HIST_2024_2025,ATR_080_100,0.0008,26,-6.0102786337346075e-05,-0.0016136670634867337,0.4230769230769231,0.9602507328693958,0.9602507328693958
BTCUSDT,2024-06,2024,HIST_2024_2025,BASE_SHORT,0.0,77,0.00039940778713727626,-0.0006366039063586681,0.42857142857142855,1.2745123998254646,1.2745123998254646
BTCUSDT,2024-06,2024,HIST_2024_2025,BASE_SHORT,0.0002,77,0.00019940778713727653,-0.0008366039063586681,0.42857142857142855,1.1270714280517247,1.1270714280517247
BTCUSDT,2024-06,2024,HIST_2024_2025,BASE_SHORT,0.0004,77,-5.922128627239354e-07,-0.0010366039063586681,0.4155844155844156,0.9996485847181142,0.9996485847181142
BTCUSDT,2024-06,2024,HIST_2024_2025,BASE_SHORT,0.0006,77,-0.0002005922128627236,-0.001236603906358668,0.4025974025974026,0.8887530078118507,0.8887530078118507
BTCUSDT,2024-06,2024,HIST_2024_2025,BASE_SHORT,0.0008,77,-0.00040059221286272356,-0.001436603906358668,0.38961038961038963,0.7918236386847776,0.7918236386847776
BTCUSDT,2024-07,2024,HIST_2024_2025,ATR_080_100,0.0,18,0.00062823511795532,-0.0007507398201085924,0.4444444444444444,1.327567001975186,1.327567001975186
BTCUSDT,2024-07,2024,HIST_2024_2025,ATR_080_100,0.0002,18,0.0004282351179553199,-0.0009507398201085925,0.3888888888888889,1.2106135918957048,1.2106135918957048
BTCUSDT,2024-07,2024,HIST_2024_2025,ATR_080_100,0.0004,18,0.0002282351179553201,-0.0011507398201085924,0.3888888888888889,1.1058851910342034,1.1058851910342034
BTCUSDT,2024-07,2024,HIST_2024_2025,ATR_080_100,0.0006,18,2.823511795532019e-05,-0.0013507398201085923,0.3888888888888889,1.0123962289316593,1.0123962289316593
BTCUSDT,2024-07,2024,HIST_2024_2025,ATR_080_100,0.0008,18,-0.00017176488204467995,-0.0015507398201085923,0.2777777777777778,0.928603332956077,0.928603332956077
BTCUSDT,2024-07,2024,HIST_2024_2025,BASE_SHORT,0.0,92,-0.00032781529928440826,-0.0009539745684045142,0.43478260869565216,0.8778423469915135,0.8778423469915135
BTCUSDT,2024-07,2024,HIST_2024_2025,BASE_SHORT,0.0002,92,-0.000527815299284408,-0.0011539745684045143,0.40217391304347827,0.8114352801273863,0.8114352801273863
BTCUSDT,2024-07,2024,HIST_2024_2025,BASE_SHORT,0.0004,92,-0.0007278152992844081,-0.0013539745684045142,0.40217391304347827,0.7506359138310952,0.7506359138310952
BTCUSDT,2024-07,2024,HIST_2024_2025,BASE_SHORT,0.0006,92,-0.0009278152992844086,-0.001553974568404514,0.3804347826086957,0.6948584127119383,0.6948584127119383
BTCUSDT,2024-07,2024,HIST_2024_2025,BASE_SHORT,0.0008,92,-0.0011278152992844083,-0.0017539745684045142,0.34782608695652173,0.6439092481547528,0.6439092481547528
BTCUSDT,2024-08,2024,HIST_2024_2025,ATR_080_100,0.0,20,-0.00035452043247025664,-1.6856859309855032e-05,0.5,0.8395081461330902,0.8395081461330902
BTCUSDT,2024-08,2024,HIST_2024_2025,ATR_080_100,0.0002,20,-0.0005545204324702568,-0.00021685685930985501,0.45,0.7604433555252037,0.7604433555252037
BTCUSDT,2024-08,2024,HIST_2024_2025,ATR_080_100,0.0004,20,-0.0007545204324702564,-0.000416856859309855,0.35,0.6895490572594095,0.6895490572594095
BTCUSDT,2024-08,2024,HIST_2024_2025,ATR_080_100,0.0006,20,-0.0009545204324702565,-0.000616856859309855,0.35,0.627198922588725,0.627198922588725
BTCUSDT,2024-08,2024,HIST_2024_2025,ATR_080_100,0.0008,20,-0.0011545204324702567,-0.0008168568593098551,0.35,0.5708742956724078,0.5708742956724078
BTCUSDT,2024-08,2024,HIST_2024_2025,BASE_SHORT,0.0,82,0.00121768403914468,0.00034376439532013414,0.5487804878048781,1.4295807699797713,1.4295807699797713
BTCUSDT,2024-08,2024,HIST_2024_2025,BASE_SHORT,0.0002,82,0.0010176840391446804,0.00014376439532013413,0.524390243902439,1.3477719729316375,1.3477719729316375
BTCUSDT,2024-08,2024,HIST_2024_2025,BASE_SHORT,0.0004,82,0.0008176840391446805,-5.623560467986588e-05,0.4878048780487805,1.270433182961609,1.270433182961609
BTCUSDT,2024-08,2024,HIST_2024_2025,BASE_SHORT,0.0006,82,0.0006176840391446796,-0.0002562356046798658,0.45121951219512196,1.19734462829856,1.19734462829856
BTCUSDT,2024-08,2024,HIST_2024_2025,BASE_SHORT,0.0008,82,0.00041768403914467967,-0.0004562356046798659,0.45121951219512196,1.1289254693062518,1.1289254693062518
BTCUSDT,2024-09,2024,HIST_2024_2025,ATR_080_100,0.0,25,0.0011633032520926756,0.0016840164262161839,0.68,2.0437766660933265,2.0437766660933265
BTCUSDT,2024-09,2024,HIST_2024_2025,ATR_080_100,0.0002,25,0.0009633032520926757,0.0014840164262161838,0.64,1.8146216626631335,1.8146216626631335
BTCUSDT,2024-09,2024,HIST_2024_2025,ATR_080_100,0.0004,25,0.0007633032520926755,0.001284016426216184,0.6,1.6072687680625424,1.6072687680625424
