beta_window_days,residual_lookback_days,rebalance_time,entry_time,exit_time,gross_return,turnover,estimated_market_beta,long_count,short_count
56,3,2025-05-29 00:00:00+00:00,2025-05-29 04:00:00+00:00,2025-05-30 04:00:00+00:00,0.022167512425251876,0.75,-0.06369008860632036,4,4
56,3,2025-05-30 00:00:00+00:00,2025-05-30 04:00:00+00:00,2025-05-31 04:00:00+00:00,0.02605219394667027,0.5,-0.06828436997014103,4,4
56,3,2025-05-31 00:00:00+00:00,2025-05-31 04:00:00+00:00,2025-06-01 04:00:00+00:00,0.010875515722211349,1.75,0.17494505133063942,4,4
56,3,2025-06-01 00:00:00+00:00,2025-06-01 04:00:00+00:00,2025-06-02 04:00:00+00:00,-0.0012190704642899008,0.25,0.23267807871481377,4,4
56,3,2025-06-02 00:00:00+00:00,2025-06-02 04:00:00+00:00,2025-06-03 04:00:00+00:00,0.013676877966909057,0.0,0.23203046268309796,4,4
56,3,2025-06-03 00:00:00+00:00,2025-06-03 04:00:00+00:00,2025-06-04 04:00:00+00:00,-0.005982630816269999,2.0,0.10744060003522621,4,4
56,3,2025-06-04 00:00:00+00:00,2025-06-04 04:00:00+00:00,2025-06-05 04:00:00+00:00,-0.0008717375680259848,0.75,0.07160840764652138,4,4
56,3,2025-06-05 00:00:00+00:00,2025-06-05 04:00:00+00:00,2025-06-06 04:00:00+00:00,0.0028548036131731402,0.75,0.07281810874890302,4,4
56,3,2025-06-06 00:00:00+00:00,2025-06-06 04:00:00+00:00,2025-06-07 04:00:00+00:00,-0.0009894006465600569,1.25,0.1455222663128123,4,4
56,3,2025-06-07 00:00:00+00:00,2025-06-07 04:00:00+00:00,2025-06-08 04:00:00+00:00,0.0014121331937749365,1.0,0.2779589542940034,4,4
56,3,2025-06-08 00:00:00+00:00,2025-06-08 04:00:00+00:00,2025-06-09 04:00:00+00:00,-0.005479799958694118,1.0,0.013950044868690725,4,4
56,3,2025-06-09 00:00:00+00:00,2025-06-09 04:00:00+00:00,2025-06-10 04:00:00+00:00,0.014020595509996764,1.0,0.005848382330083668,4,4
56,3,2025-06-10 00:00:00+00:00,2025-06-10 04:00:00+00:00,2025-06-11 04:00:00+00:00,0.005653464592288077,1.25,0.02651219370969299,4,4
56,3,2025-06-11 00:00:00+00:00,2025-06-11 04:00:00+00:00,2025-06-12 04:00:00+00:00,-0.00107067859854508,1.5,-0.04695335982438653,4,4
56,3,2025-06-12 00:00:00+00:00,2025-06-12 04:00:00+00:00,2025-06-13 04:00:00+00:00,0.016705762284700026,0.5,0.0022462663043925635,4,4
56,3,2025-06-13 00:00:00+00:00,2025-06-13 04:00:00+00:00,2025-06-14 04:00:00+00:00,-0.00042087679933532074,0.25,-0.11426310633079667,4,4
56,3,2025-06-14 00:00:00+00:00,2025-06-14 04:00:00+00:00,2025-06-15 04:00:00+00:00,-0.002350747644989118,1.75,0.3401716791784092,4,4
56,3,2025-06-15 00:00:00+00:00,2025-06-15 04:00:00+00:00,2025-06-16 04:00:00+00:00,-0.0025613706612739318,0.25,0.37521257304692585,4,4
56,3,2025-06-16 00:00:00+00:00,2025-06-16 04:00:00+00:00,2025-06-17 04:00:00+00:00,-0.0001384536740554887,0.75,0.3875027757343241,4,4
56,3,2025-06-17 00:00:00+00:00,2025-06-17 04:00:00+00:00,2025-06-18 04:00:00+00:00,0.0004008515202119922,1.0,0.2069509429408692,4,4
56,3,2025-06-18 00:00:00+00:00,2025-06-18 04:00:00+00:00,2025-06-19 04:00:00+00:00,0.006908986274180379,1.0,0.3925576086285526,4,4
56,3,2025-06-19 00:00:00+00:00,2025-06-19 04:00:00+00:00,2025-06-20 04:00:00+00:00,0.00022554164926699705,1.0,0.13104630797201733,4,4
56,3,2025-06-20 00:00:00+00:00,2025-06-20 04:00:00+00:00,2025-06-21 04:00:00+00:00,-0.0007810207379103234,0.5,-0.030983963188255303,4,4
56,3,2025-06-21 00:00:00+00:00,2025-06-21 04:00:00+00:00,2025-06-22 04:00:00+00:00,-0.003358203005181873,1.0,0.1499671094067273,4,4
56,3,2025-06-22 00:00:00+00:00,2025-06-22 04:00:00+00:00,2025-06-23 04:00:00+00:00,0.0005282840197041172,1.25,0.3929615133563196,4,4
56,3,2025-06-23 00:00:00+00:00,2025-06-23 04:00:00+00:00,2025-06-24 04:00:00+00:00,0.028505727788165264,0.75,0.3254582583254966,4,4
56,3,2025-06-24 00:00:00+00:00,2025-06-24 04:00:00+00:00,2025-06-25 04:00:00+00:00,0.004707560047748777,1.0,0.11156989675564938,4,4
56,3,2025-06-25 00:00:00+00:00,2025-06-25 04:00:00+00:00,2025-06-26 04:00:00+00:00,0.002254681065462699,1.25,-0.24814980178566062,4,4
56,3,2025-06-26 00:00:00+00:00,2025-06-26 04:00:00+00:00,2025-06-27 04:00:00+00:00,0.007624838992106683,0.75,-0.033621280221376726,4,4
56,3,2025-06-27 00:00:00+00:00,2025-06-27 04:00:00+00:00,2025-06-28 04:00:00+00:00,0.004302562411820782,1.25,0.28256078913721216,4,4
