symbol,period,experiment,cost,samples,win_rate,mean_return,median_return,profit_factor,best_trade,worst_trade,profit_factor_clean
BNBUSDT,2026-05,BASE_SHORT,0.0,84,0.3333333333333333,-0.0005447115623822261,-0.0010748899208615215,0.7167113275954671,0.013056653100026683,-0.009719680889994864,0.7167113275954671
BNBUSDT,2026-05,BASE_SHORT,0.0002,84,0.30952380952380953,-0.0007447115623822264,-0.0012748899208615216,0.6383269683251787,0.012856653100026682,-0.009919680889994864,0.6383269683251787
BNBUSDT,2026-05,BASE_SHORT,0.0004,84,0.30952380952380953,-0.000944711562382226,-0.0014748899208615214,0.5700324241457386,0.012656653100026683,-0.010119680889994863,0.5700324241457386
BNBUSDT,2026-05,BASE_SHORT,0.0006,84,0.2619047619047619,-0.0011447115623822262,-0.0016748899208615213,0.511072776192854,0.012456653100026683,-0.010319680889994864,0.511072776192854
BNBUSDT,2026-05,BASE_SHORT,0.0008,84,0.25,-0.0013447115623822258,-0.0018748899208615214,0.4600377578872232,0.012256653100026682,-0.010519680889994864,0.4600377578872232
BNBUSDT,2026-05,BASE_SHORT,0.001,84,0.2261904761904762,-0.0015447115623822266,-0.0020748899208615215,0.41528318446312124,0.012056653100026682,-0.010719680889994865,0.41528318446312124
BNBUSDT,2026-05,ATR_CONTRACTING,0.0,24,0.375,0.0003408711485065885,-0.001063716244820101,1.2168850063452392,0.013056653100026683,-0.007716003672877059,1.2168850063452392
BNBUSDT,2026-05,ATR_CONTRACTING,0.0002,24,0.375,0.00014087114850658833,-0.001263716244820101,1.083028133651058,0.012856653100026682,-0.00791600367287706,1.083028133651058
BNBUSDT,2026-05,ATR_CONTRACTING,0.0004,24,0.375,-5.912885149341124e-05,-0.001463716244820101,0.9675413616452261,0.012656653100026683,-0.008116003672877058,0.9675413616452261
BNBUSDT,2026-05,ATR_CONTRACTING,0.0006,24,0.25,-0.00025912885149341133,-0.0016637162448201008,0.8679846851812102,0.012456653100026683,-0.008316003672877059,0.8679846851812102
BNBUSDT,2026-05,ATR_CONTRACTING,0.0008,24,0.25,-0.0004591288514934117,-0.001863716244820101,0.7826989199619451,0.012256653100026682,-0.008516003672877059,0.7826989199619451
BNBUSDT,2026-05,ATR_CONTRACTING,0.001,24,0.25,-0.0006591288514934116,-0.002063716244820101,0.7087199173078064,0.012056653100026682,-0.00871600367287706,0.7087199173078064
BNBUSDT,2026-05,ATR_EXPANDING,0.0,68,0.35294117647058826,-0.0006402203384239786,-0.0010123837152915538,0.6582402537651209,0.012844902130335845,-0.009719680889994864,0.6582402537651209
BNBUSDT,2026-05,ATR_EXPANDING,0.0002,68,0.3235294117647059,-0.0008402203384239783,-0.0012123837152915539,0.581215667458939,0.012644902130335844,-0.009919680889994864,0.581215667458939
BNBUSDT,2026-05,ATR_EXPANDING,0.0004,68,0.3235294117647059,-0.0010402203384239786,-0.0014123837152915538,0.5142847717721066,0.012444902130335845,-0.010119680889994863,0.5142847717721066
BNBUSDT,2026-05,ATR_EXPANDING,0.0006,68,0.29411764705882354,-0.0012402203384239785,-0.0016123837152915536,0.45605007515323787,0.012244902130335845,-0.010319680889994864,0.45605007515323787
BNBUSDT,2026-05,ATR_EXPANDING,0.0008,68,0.27941176470588236,-0.0014402203384239782,-0.0018123837152915537,0.4056151497356631,0.012044902130335844,-0.010519680889994864,0.4056151497356631
BNBUSDT,2026-05,ATR_EXPANDING,0.001,68,0.25,-0.0016402203384239791,-0.002012383715291554,0.3615157583603771,0.011844902130335844,-0.010719680889994865,0.3615157583603771
BNBUSDT,2026-06,BASE_SHORT,0.0,95,0.45263157894736844,0.00010015314603121041,-0.0005010916639821561,1.0456764198230661,0.014211288880668471,-0.016814908936891082,1.0456764198230661
