hypothesis,event,horizon,minutes,feature,bucket,cost,feature_min,feature_median,feature_max,samples,mean_return,median_return,win_rate,profit_factor,q10,q90,baseline_mean_return,baseline_profit_factor,mean_return_delta,pf_delta,years,years_pf_gt_1,years_mean_gt_0,worst_year_pf,median_year_pf,assets,assets_pf_gt_1,assets_mean_gt_0,worst_asset_pf,median_asset_pf
UP_CONTINUATION_LONG,EXTREME_UP,12,60,abs_return_z,Q2,0.0004,2.1514362097540727,2.2888299009978303,2.4664944889729266,4159,-0.0002693809314271676,-0.00018808372884940002,0.48401057946621784,0.9097336345001381,-0.008727398149002658,0.008365811830659424,-0.0002512156238426971,0.9244393083709865,-1.816530758447048e-05,-0.014705673870848424,3,1,1,0.7774576877614645,0.850993070189697,4,1,1,0.724548127513141,0.9166322198697456
UP_CONTINUATION_LONG,EXTREME_UP,6,30,directional_close_extremity,Q3,0.0004,0.9016335227272334,0.9341283361726122,0.962034927866362,4159,-0.0002218894706690076,-0.000494037991348661,0.45780235633565763,0.9091107206358007,-0.00704797230101544,0.007127471449833306,-0.0002452036758708659,0.9011441638679514,2.3314205201858273e-05,0.007966556767849298,3,0,0,0.7600080627074037,0.8928045005602545,4,0,0,0.7798161693806522,0.9224600404048815
UP_CONTINUATION_LONG,EXTREME_UP,12,60,volume_ratio_7d,Q2,0.0004,2.4311424337852845,3.092792474821679,3.858221777460032,4159,-0.0002960267734756541,-0.00031510603256550384,0.47415244049050254,0.9056318598762332,-0.00938387186823364,0.009071126870623692,-0.0002512156238426971,0.9244393083709865,-4.4811149632956973e-05,-0.018807448494753354,3,0,0,0.8594439202478162,0.8992624808466068,4,0,0,0.825723095170796,0.8906033171152541
UP_CONTINUATION_LONG,EXTREME_UP,12,60,directional_close_extremity,Q3,0.0004,0.9016335227272334,0.9341283361726122,0.962034927866362,4159,-0.00032331498141546615,-0.0004893811472816308,0.45996633806203413,0.9044946257513432,-0.01004323456673038,0.009380323731758396,-0.0002512156238426971,0.9244393083709865,-7.209935757276903e-05,-0.019944682619643328,3,1,1,0.6958484176244919,0.8604957452175461,4,0,0,0.8084500450556914,0.9135843083291025
UP_CONTINUATION_LONG,EXTREME_UP,12,60,range_ratio,Q2,0.0004,2.441502063291451,2.699224149522609,2.9961519636863896,4159,-0.0002944211698363179,-0.0003300821534697903,0.47030536186583316,0.9012744491149415,-0.00885899037073722,0.008314260731155461,-0.0002512156238426971,0.9244393083709865,-4.32055459936208e-05,-0.023164859256045056,3,1,1,0.7742916109320652,0.8082413494322795,4,0,0,0.824828162851317,0.9127113813168576
UP_CONTINUATION_LONG,EXTREME_UP,6,30,volume_ratio_7d,Q2,0.0004,2.4311424337852845,3.092792474821679,3.858221777460032,4159,-0.00024684135102063815,-0.0004,0.45996633806203413,0.8948642262875469,-0.0068869149662865005,0.0065956488672148424,-0.0002452036758708659,0.9011441638679514,-1.6376751497722687e-06,-0.00627993758040446,3,0,0,0.8319878567944294,0.8325609136360062,4,0,0,0.7584111878507448,0.8727433775177886
DOWN_REVERSAL_LONG,EXTREME_DOWN,12,60,range_ratio,Q3,0.0004,2.955975988947378,3.290609339784706,3.769311127779113,4104,-0.0003505970470030941,8.309112809969999e-05,0.506578947368421,0.8947560452680783,-0.010128846279563399,0.009258953031252851,-0.00028583403750970205,0.9151818581872299,-6.476300949339204e-05,-0.020425812919151576,3,0,0,0.8066626613071555,0.8986710038397515,4,0,0,0.8404277484553119,0.8853095971635698
DOWN_REVERSAL_LONG,EXTREME_DOWN,12,60,abs_return_z,Q1,0.0004,0.7202038581232246,2.026221731049989,2.1508825698376,4104,-0.00034415007256551045,-0.00025302038111105,0.4868421052631579,0.8913224931852168,-0.009561592197414488,0.008383475565508681,-0.00028583403750970205,0.9151818581872299,-5.8316035055808397e-05,-0.023859365002013022,3,0,0,0.804753917464283,0.8793044497270197,4,0,0,0.8040285611268939,0.901218162687551
DOWN_REVERSAL_LONG,EXTREME_DOWN,6,30,volume_ratio_7d,Q3,0.0004,3.9277371071442113,4.921285980705289,6.379714006189969,4104,-0.00028318847055148387,-6.03611645153e-05,0.49488304093567254,0.8909415485411395,-0.00785068281861792,0.0069719339696845736,-0.00038358683676846165,0.8533030159057083,0.00010039836621697777,0.037638532635431154,3,0,0,0.8581084164062616,0.8652961254784574,4,1,1,0.811690871236327,0.8493160819751355
DOWN_REVERSAL_LONG,EXTREME_DOWN,12,60,volume_ratio_7d,Q2,0.0004,2.4640910274465444,3.1363148028860977,3.927104560280128,4104,-0.00039353673889222176,-9.14820181405001e-06,0.49902534113060426,0.8815351018890634,-0.00988965857392868,0.008843425535295414,-0.00028583403750970205,0.9151818581872299,-0.00010770270138251971,-0.03364675629816649,3,0,0,0.7968958574194028,0.8367075337306755,4,1,1,0.8008527542382773,0.9080202253784135
DOWN_REVERSAL_LONG,EXTREME_DOWN,12,60,range_ratio,Q2,0.0004,2.428993305425597,2.6819639324211333,2.955901081111583,4104,-0.00038845519423862525,8.500052161419997e-05,0.506578947368421,0.8775511805944276,-0.009707619769599858,0.008416063203606822,-0.00028583403750970205,0.9151818581872299,-0.0001026211567289232,-0.03763067759280225,3,0,0,0.8179017679093608,0.8509523230027802,4,1,1,0.774516979006407,0.8418848667229453
UP_CONTINUATION_LONG,EXTREME_UP,12,60,abs_return_z,Q3,0.0004,2.466599116891299,2.704603889167924,3.076674147668052,4159,-0.000401569370615314,-0.0005118193000112001,0.45948545323395046,0.8769951116325857,-0.009680467805865619,0.009074463641548035,-0.0002512156238426971,0.9244393083709865,-0.00015035374677261688,-0.047444196738400835,3,0,0,0.7731178351710257,0.8943605374726347,4,1,1,0.7899389101096943,0.872286979868892
