symbol,period,year,open_time,strategy,penetration_norm,entry_price,exit_price,holding_bars,exit_reason,gross_return
BTCUSDT,2026-05,2026,2026-05-24 21:45:00+00:00,TIME_ONLY,0.04644412191582003,76118.9,76836.6,12,TIME,0.009428670146310658
BTCUSDT,2026-05,2026,2026-05-24 21:45:00+00:00,STOP_REJECTION_LOW,0.04644412191582003,76118.9,76836.6,12,TIME,0.009428670146310658
BTCUSDT,2026-05,2026,2026-05-24 21:45:00+00:00,RECLAIM_FAILURE,0.04644412191582003,76118.9,76836.6,12,TIME,0.009428670146310658
BTCUSDT,2026-05,2026,2026-05-26 03:25:00+00:00,TIME_ONLY,0.04460365149064719,76550.0,76700.0,12,TIME,0.0019595035924233617
BTCUSDT,2026-05,2026,2026-05-26 03:25:00+00:00,STOP_REJECTION_LOW,0.04460365149064719,76550.0,76700.0,12,TIME,0.0019595035924233617
BTCUSDT,2026-05,2026,2026-05-26 03:25:00+00:00,RECLAIM_FAILURE,0.04460365149064719,76550.0,76700.0,12,TIME,0.0019595035924233617
BTCUSDT,2026-05,2026,2026-05-27 12:15:00+00:00,TIME_ONLY,0.06629478652648314,75808.1,75434.1,12,TIME,-0.004933509743681785
BTCUSDT,2026-05,2026,2026-05-27 12:15:00+00:00,STOP_REJECTION_LOW,0.06629478652648314,75808.1,75541.0,10,STOP_REJECTION_LOW,-0.003523370193950326
BTCUSDT,2026-05,2026,2026-05-27 12:15:00+00:00,RECLAIM_FAILURE,0.06629478652648314,75808.1,75474.7,11,RECLAIM_FAILURE,-0.004397946921239404
BTCUSDT,2026-05,2026,2026-05-27 13:15:00+00:00,TIME_ONLY,0.059008160703075956,75434.2,75137.3,12,TIME,-0.003935880542247361
BTCUSDT,2026-05,2026,2026-05-27 13:15:00+00:00,STOP_REJECTION_LOW,0.059008160703075956,75434.2,75312.0,1,STOP_REJECTION_LOW,-0.0016199548745794434
BTCUSDT,2026-05,2026,2026-05-27 13:15:00+00:00,RECLAIM_FAILURE,0.059008160703075956,75434.2,75346.4,2,RECLAIM_FAILURE,-0.0011639282977747856
BTCUSDT,2026-05,2026,2026-05-27 21:45:00+00:00,TIME_ONLY,0.06760847628657922,74451.4,74497.4,12,TIME,0.0006178527200293438
BTCUSDT,2026-05,2026,2026-05-27 21:45:00+00:00,STOP_REJECTION_LOW,0.06760847628657922,74451.4,74333.0,1,STOP_REJECTION_LOW,-0.0015902991750321727
BTCUSDT,2026-05,2026,2026-05-27 21:45:00+00:00,RECLAIM_FAILURE,0.06760847628657922,74451.4,74332.9,2,RECLAIM_FAILURE,-0.0015916423331193696
BTCUSDT,2026-05,2026,2026-05-28 03:35:00+00:00,TIME_ONLY,0.062361590929217496,73449.8,73058.1,12,TIME,-0.005332894031025215
BTCUSDT,2026-05,2026,2026-05-28 03:35:00+00:00,STOP_REJECTION_LOW,0.062361590929217496,73449.8,73366.0,1,STOP_REJECTION_LOW,-0.0011409152918048227
BTCUSDT,2026-05,2026,2026-05-28 03:35:00+00:00,RECLAIM_FAILURE,0.062361590929217496,73449.8,73396.7,2,RECLAIM_FAILURE,-0.0007229427445685221
BTCUSDT,2026-05,2026,2026-05-31 07:35:00+00:00,TIME_ONLY,0.04449648711945275,73817.9,73857.2,12,TIME,0.0005323911950896321
BTCUSDT,2026-05,2026,2026-05-31 07:35:00+00:00,STOP_REJECTION_LOW,0.04449648711945275,73817.9,73857.2,12,TIME,0.0005323911950896321
BTCUSDT,2026-05,2026,2026-05-31 07:35:00+00:00,RECLAIM_FAILURE,0.04449648711945275,73817.9,73857.2,12,TIME,0.0005323911950896321
BTCUSDT,2026-05,2026,2026-05-31 09:55:00+00:00,TIME_ONLY,0.047133309883904476,73814.6,73871.5,12,TIME,0.00077085021120471
BTCUSDT,2026-05,2026,2026-05-31 09:55:00+00:00,STOP_REJECTION_LOW,0.047133309883904476,73814.6,73779.8,4,STOP_REJECTION_LOW,-0.00047145144727467336
BTCUSDT,2026-05,2026,2026-05-31 09:55:00+00:00,RECLAIM_FAILURE,0.047133309883904476,73814.6,73777.7,5,RECLAIM_FAILURE,-0.0004999011035757839
BTCUSDT,2026-05,2026,2026-05-31 16:30:00+00:00,TIME_ONLY,0.05182026894064557,73399.9,73623.5,12,TIME,0.003046325676193007
BTCUSDT,2026-05,2026,2026-05-31 16:30:00+00:00,STOP_REJECTION_LOW,0.05182026894064557,73399.9,73356.4,1,STOP_REJECTION_LOW,-0.0005926438591877803
BTCUSDT,2026-05,2026,2026-05-31 16:30:00+00:00,RECLAIM_FAILURE,0.05182026894064557,73399.9,73623.5,12,TIME,0.003046325676193007
BTCUSDT,2026-06,2026,2026-06-01 02:00:00+00:00,TIME_ONLY,0.06773203513599364,73332.8,73945.1,12,TIME,0.008349606178954083
BTCUSDT,2026-06,2026,2026-06-01 02:00:00+00:00,STOP_REJECTION_LOW,0.06773203513599364,73332.8,73945.1,12,TIME,0.008349606178954083
BTCUSDT,2026-06,2026,2026-06-01 02:00:00+00:00,RECLAIM_FAILURE,0.06773203513599364,73332.8,73945.1,12,TIME,0.008349606178954083
BTCUSDT,2026-06,2026,2026-06-01 06:45:00+00:00,TIME_ONLY,0.03949264917844329,73153.1,72725.4,12,TIME,-0.005846642179210604
BTCUSDT,2026-06,2026,2026-06-01 06:45:00+00:00,STOP_REJECTION_LOW,0.03949264917844329,73153.1,72917.0,7,STOP_REJECTION_LOW,-0.003227477714546678
BTCUSDT,2026-06,2026,2026-06-01 06:45:00+00:00,RECLAIM_FAILURE,0.03949264917844329,73153.1,72951.6,8,RECLAIM_FAILURE,-0.0027544970753119458
BTCUSDT,2026-06,2026,2026-06-01 07:20:00+00:00,TIME_ONLY,0.035783365570599614,72951.6,72809.5,12,TIME,-0.0019478668048406034
BTCUSDT,2026-06,2026,2026-06-01 07:20:00+00:00,STOP_REJECTION_LOW,0.035783365570599614,72951.6,72880.0,2,STOP_REJECTION_LOW,-0.0009814726476184976
BTCUSDT,2026-06,2026,2026-06-01 07:20:00+00:00,RECLAIM_FAILURE,0.035783365570599614,72951.6,72875.4,3,RECLAIM_FAILURE,-0.0010445281529124495
BTCUSDT,2026-06,2026,2026-06-01 10:35:00+00:00,TIME_ONLY,0.036824877250409165,72621.3,72634.2,12,TIME,0.00017763383470126293
BTCUSDT,2026-06,2026,2026-06-01 10:35:00+00:00,STOP_REJECTION_LOW,0.036824877250409165,72621.3,72634.2,12,TIME,0.00017763383470126293
BTCUSDT,2026-06,2026,2026-06-01 10:35:00+00:00,RECLAIM_FAILURE,0.036824877250409165,72621.3,72634.2,12,TIME,0.00017763383470126293
BTCUSDT,2026-06,2026,2026-06-01 12:00:00+00:00,TIME_ONLY,0.04174107142856493,72289.8,72009.5,12,TIME,-0.0038774488240388427
BTCUSDT,2026-06,2026,2026-06-01 12:00:00+00:00,STOP_REJECTION_LOW,0.04174107142856493,72289.8,72150.6,1,STOP_REJECTION_LOW,-0.0019255828623124804
BTCUSDT,2026-06,2026,2026-06-01 12:00:00+00:00,RECLAIM_FAILURE,0.04174107142856493,72289.8,72084.9,2,RECLAIM_FAILURE,-0.002834424773619615
BTCUSDT,2026-06,2026,2026-06-01 22:05:00+00:00,TIME_ONLY,0.05391558916808604,70889.0,71345.0,12,TIME,0.006432591798445353
BTCUSDT,2026-06,2026,2026-06-01 22:05:00+00:00,STOP_REJECTION_LOW,0.05391558916808604,70889.0,71345.0,12,TIME,0.006432591798445353
BTCUSDT,2026-06,2026,2026-06-01 22:05:00+00:00,RECLAIM_FAILURE,0.05391558916808604,70889.0,71345.0,12,TIME,0.006432591798445353
BTCUSDT,2026-06,2026,2026-06-02 01:45:00+00:00,TIME_ONLY,0.03622474125184077,70885.0,70623.0,12,TIME,-0.0036961275305071872
BTCUSDT,2026-06,2026,2026-06-02 01:45:00+00:00,STOP_REJECTION_LOW,0.03622474125184077,70885.0,70723.0,2,STOP_REJECTION_LOW,-0.002285391831840289
BTCUSDT,2026-06,2026,2026-06-02 01:45:00+00:00,RECLAIM_FAILURE,0.03622474125184077,70885.0,70612.2,3,RECLAIM_FAILURE,-0.0038484869859631843
BTCUSDT,2026-06,2026,2026-06-02 09:20:00+00:00,TIME_ONLY,0.06190513038768074,69465.3,69504.5,12,TIME,0.0005643105262627124
BTCUSDT,2026-06,2026,2026-06-02 09:20:00+00:00,STOP_REJECTION_LOW,0.06190513038768074,69465.3,69370.0,1,STOP_REJECTION_LOW,-0.0013719079885928798
