symbol,period,experiment,samples,win_rate,mean_return,median_return,profit_factor,best_trade,worst_trade,profit_factor_clean
BTCUSDT,2026-05,VOLUME_ACCELERATING,94,0.40425531914893614,-0.00032486723902967014,-0.0008849088748125178,0.8105059305865504,0.014998593644285796,-0.011528011737216848,0.8105059305865504
BTCUSDT,2026-05,VOLUME_DECELERATING,49,0.46938775510204084,0.0006277417444072323,-0.0001320273963654195,1.620822325957131,0.014215141410398813,-0.007631360606861981,1.620822325957131
BTCUSDT,2026-05,BEAR_CANDLE_PRESSURE,64,0.359375,-0.0003268904615344771,-0.0010047396715060497,0.8126631828280789,0.014998593644285796,-0.012380450089441553,0.8126631828280789
BTCUSDT,2026-05,BULL_CANDLE_PRESSURE,57,0.49122807017543857,0.0005621850251563581,-3.7839658231231255e-06,1.4461163688914176,0.014215141410398813,-0.012841562335762724,1.4461163688914176
BTCUSDT,2026-05,BEAR_DI_DOMINANCE,97,0.4020618556701031,-0.00037579522613563377,-0.0008512871801633626,0.7785240054450342,0.014998593644285796,-0.011528011737216848,0.7785240054450342
BTCUSDT,2026-05,DYNAMIC_BEAR_CONFIRMATION,76,0.40789473684210525,-0.0004950346065621917,-0.0009399449434109863,0.7264650787043724,0.014998593644285796,-0.011528011737216848,0.7264650787043724
BTCUSDT,2026-06,BASE_SHORT,109,0.46788990825688076,0.0001755210086240669,-0.00016562830460309375,1.0876809348519352,0.015414148685598095,-0.019989606674453264,1.0876809348519352
BTCUSDT,2026-06,ADX_RISING,105,0.4666666666666667,-0.00014772723691282706,-0.00016562830460309375,0.9331950267030944,0.014515653000559237,-0.019989606674453264,0.9331950267030944
BTCUSDT,2026-06,ADX_FALLING,24,0.4166666666666667,-0.0012870811188874232,-0.0010265315980163003,0.6556168628943425,0.015414148685598095,-0.027974023449136576,0.6556168628943425
BTCUSDT,2026-06,BEAR_SPREAD_WIDENING,105,0.4666666666666667,0.00012870939283488936,-0.00016562830460309375,1.0636963537334736,0.014515653000559237,-0.016585860917154416,1.0636963537334736
BTCUSDT,2026-06,BEAR_SPREAD_NARROWING,34,0.4411764705882353,-0.001125278069852902,-0.0009376218465786401,0.6668508088581044,0.015414148685598095,-0.027974023449136576,0.6668508088581044
BTCUSDT,2026-06,BEAR_ACCELERATION,92,0.42391304347826086,2.8523664587655544e-06,-0.00023151776084523457,1.0013327520657407,0.014515653000559237,-0.016585860917154416,1.0013327520657407
BTCUSDT,2026-06,BEAR_DECELERATION,79,0.45569620253164556,-0.0005932629715816297,-0.000557260476104493,0.7767222864972128,0.019387788562434505,-0.027974023449136576,0.7767222864972128
BTCUSDT,2026-06,ATR_EXPANDING,96,0.4479166666666667,3.961788415853332e-05,-0.0004160269338986389,1.018611359436426,0.014515653000559237,-0.019989606674453264,1.018611359436426
BTCUSDT,2026-06,ATR_CONTRACTING,19,0.5789473684210527,0.0004983826536908548,0.00047606703415126184,1.3361099485811356,0.015414148685598095,-0.008363118371541578,1.3361099485811356
BTCUSDT,2026-06,VOLUME_ACCELERATING,105,0.44761904761904764,8.446989243641655e-05,-0.00019531799331851118,1.042175971126597,0.015414148685598095,-0.013567514176698547,1.042175971126597
BTCUSDT,2026-06,VOLUME_DECELERATING,55,0.45454545454545453,-0.00040394135322797774,-0.0003705555298224583,0.8478270946915656,0.013094030331100015,-0.027974023449136576,0.8478270946915656
BTCUSDT,2026-06,BEAR_CANDLE_PRESSURE,84,0.4523809523809524,-1.8964669869393702e-05,-0.00023505569250564795,0.9910591399884591,0.014515653000559237,-0.016585860917154416,0.9910591399884591
BTCUSDT,2026-06,BULL_CANDLE_PRESSURE,60,0.5166666666666667,0.00027893230130177267,0.0003478348316797719,1.1411202854309501,0.019387788562434505,-0.011664379831636262,1.1411202854309501
BTCUSDT,2026-06,BEAR_DI_DOMINANCE,108,0.46296296296296297,0.00017273817505437066,-0.00018047314896080247,1.0854991210886946,0.015414148685598095,-0.019989606674453264,1.0854991210886946
