hypothesis,horizon_bars,minutes,symbol,cost,samples,mean_return,median_return,trimmed_mean_5,winsorized_mean_5,win_rate,profit_factor,q10,q90
POS_REVERSION_SHORT,1,5,ETHUSDT,0.0006,2968,-0.0005500326784362168,-0.0003568739751526156,-0.0004503590183547535,-0.0005092412306186928,0.45148247978436656,0.6771717769396935,-0.004836150953391781,0.0034481994868380468
POS_REVERSION_SHORT,1,5,SOLUSDT,0.0,3033,-4.2818956539729615e-05,0.00025423728813556146,3.85861425167811e-05,-5.170883368231856e-06,0.5265413781734256,0.9756797725175008,-0.005266748871878635,0.00479211088249785
POS_REVERSION_SHORT,1,5,SOLUSDT,0.0004,3033,-0.00044281895653972963,-0.00014576271186443856,-0.0003614138574832189,-0.0004051708833682319,0.4826904055390702,0.7738181877167724,-0.005666748871878635,0.004392110882497849
POS_REVERSION_SHORT,1,5,SOLUSDT,0.0006,3033,-0.0006428189565397296,-0.0003457627118644385,-0.0005614138574832192,-0.0006051708833682317,0.45532476096274316,0.6885075250165458,-0.005866748871878635,0.00419211088249785
POS_REVERSION_SHORT,3,15,BNBUSDT,0.0,3009,-0.00015735333607822145,-1.685857342748065e-05,-0.00010587331314803735,-0.00014246777141928524,0.4961781322698571,0.9164906685467662,-0.00589402662400067,0.00519872850712736
POS_REVERSION_SHORT,3,15,BNBUSDT,0.0004,3009,-0.0005573533360782215,-0.00041685857342748067,-0.0005058733131480373,-0.0005424677714192854,0.44466600199401796,0.7341627802489382,-0.00629402662400067,0.00479872850712736
POS_REVERSION_SHORT,3,15,BNBUSDT,0.0006,3009,-0.0007573533360782213,-0.0006168585734274806,-0.0007058733131480376,-0.0007424677714192851,0.4154204054503157,0.6574252538424773,-0.00649402662400067,0.00459872850712736
POS_REVERSION_SHORT,3,15,BTCUSDT,0.0,3010,-0.0001555809681775721,-0.000205402420640044,-0.00013820610775058304,-0.0001374151826118699,0.47109634551495017,0.9063806078704192,-0.0047782677219785795,0.004460850322833841
POS_REVERSION_SHORT,3,15,BTCUSDT,0.0004,3010,-0.0005555809681775721,-0.000605402420640044,-0.0005382061077505829,-0.00053741518261187,0.4182724252491694,0.7052385011781854,-0.00517826772197858,0.004060850322833841
POS_REVERSION_SHORT,3,15,BTCUSDT,0.0006,3010,-0.000755580968177572,-0.0008054024206400439,-0.0007382061077505831,-0.0007374151826118697,0.3920265780730897,0.6229348871738029,-0.005378267721978579,0.0038608503228338416
