symbol,event,side,horizon,minutes,samples,mean_return,median_return,win_rate,profit_factor
BNBUSDT,BREAKOUT_UP_1H,LONG,12,60,14408,4.869457005408248e-05,-6.633033719266601e-05,0.49111604664075514,1.0263758729088077
BNBUSDT,BREAKOUT_DOWN_1H,SHORT,1,5,13251,1.984190210434252e-05,-6.810365376119787e-05,0.4706059920006037,1.0298381097444718
BNBUSDT,BREAKOUT_DOWN_1H,SHORT,3,15,13251,-2.0668349289539877e-05,-0.0001398259167337823,0.46879480793902345,0.9823465067480835
BNBUSDT,BREAKOUT_DOWN_1H,SHORT,6,30,13251,-1.2045674179265795e-05,-0.00024367319942908416,0.4642668477850728,0.9924521948468801
BNBUSDT,BREAKOUT_DOWN_1H,SHORT,12,60,13251,-3.312599072161311e-05,-0.0003674894346787916,0.46071994566447816,0.9849165552809738
BNBUSDT,BREAKOUT_UP_4H,LONG,1,5,6476,5.5636759470079125e-05,-1.2992113288590179e-05,0.4922791846819024,1.0898576821034054
BNBUSDT,BREAKOUT_UP_4H,LONG,3,15,6476,1.481316115069838e-05,-0.0001410040854800121,0.46803582458307597,1.0139167606011774
BNBUSDT,BREAKOUT_UP_4H,LONG,6,30,6476,1.9247524725352382e-05,-0.00020901181278332182,0.4694255713403335,1.0134999259985944
BNBUSDT,BREAKOUT_UP_4H,LONG,12,60,6476,5.8320719523415517e-05,-0.000185089865768151,0.4791537986411365,1.0302773777738865
BNBUSDT,BREAKOUT_DOWN_4H,SHORT,1,5,5563,3.434570319579669e-05,-7.993605115896862e-05,0.4713284199173108,1.0402568891490709
BNBUSDT,BREAKOUT_DOWN_4H,SHORT,3,15,5563,5.643982095916714e-07,-0.00018010937551171669,0.4666546827251483,1.0003938262204026
BNBUSDT,BREAKOUT_DOWN_4H,SHORT,6,30,5563,-9.266615933349537e-07,-0.0003548414568370628,0.4537120258853137,0.9995085288530084
BNBUSDT,BREAKOUT_DOWN_4H,SHORT,12,60,5563,-0.00011967024165456151,-0.0005873797270081749,0.44454431062376415,0.9531476773916999
SOLUSDT,BREAKOUT_UP_1H,LONG,1,5,13332,4.871447688417451e-06,-0.0001563966218330326,0.45792079207920794,1.0050885053972982
SOLUSDT,BREAKOUT_UP_1H,LONG,3,15,13332,-8.072082883828721e-05,-0.0003411129793873813,0.45162016201620164,0.9505742601568766
SOLUSDT,BREAKOUT_UP_1H,LONG,6,30,13332,-8.925092696764227e-05,-0.0003606098189358753,0.45972097209720975,0.9602247178450122
SOLUSDT,BREAKOUT_UP_1H,LONG,12,60,13332,-8.013817505751793e-05,-0.00030475967875304155,0.4732973297329733,0.9742585773203969
SOLUSDT,BREAKOUT_DOWN_1H,SHORT,1,5,13138,-3.637174986429862e-05,-0.00012111673191450567,0.46719439792966966,0.9650567680407516
SOLUSDT,BREAKOUT_DOWN_1H,SHORT,3,15,13138,-0.00011608115317726906,-0.00027037721091516254,0.45768001217841375,0.9346897040302314
SOLUSDT,BREAKOUT_DOWN_1H,SHORT,6,30,13138,-0.00012894475760137,-0.00042094272970338853,0.4599634647587152,0.9471412393932833
SOLUSDT,BREAKOUT_DOWN_1H,SHORT,12,60,13138,-0.00017654986086386033,-0.0005122123047339722,0.4646826000913381,0.9476099361700305
SOLUSDT,BREAKOUT_UP_4H,LONG,1,5,5838,-3.736762143869229e-05,-0.0002514975028554134,0.44792737238780406,0.9670173038444669
SOLUSDT,BREAKOUT_UP_4H,LONG,3,15,5838,-0.00016768142898241262,-0.0005366743471581503,0.43816375471051733,0.9116190796874188
SOLUSDT,BREAKOUT_UP_4H,LONG,6,30,5838,-0.00023426612231247448,-0.0006523370988853472,0.43919150393970535,0.908610630584805
SOLUSDT,BREAKOUT_UP_4H,LONG,12,60,5838,-0.00021571666644979538,-0.0007288861320346451,0.44775608084960605,0.9369290342274875
SOLUSDT,BREAKOUT_DOWN_4H,SHORT,1,5,5636,-0.00011666248619049379,-0.00018405386913189492,0.4588360539389638,0.9108471378952069
SOLUSDT,BREAKOUT_DOWN_4H,SHORT,3,15,5636,-0.00017144859403869268,-0.0004529591288760515,0.4451738821859475,0.9200180575013458
SOLUSDT,BREAKOUT_DOWN_4H,SHORT,6,30,5636,-0.0002604729148292345,-0.0007033723061672936,0.4455287437899219,0.9103012407633603
SOLUSDT,BREAKOUT_DOWN_4H,SHORT,12,60,5636,-0.00032919719877512417,-0.000914689927326684,0.4465933286018453,0.9152250575164026
