hypothesis,symbol,horizon,minutes,feature,bucket,cost,samples,mean_return,median_return,win_rate,profit_factor,q10,q90
DOWN_REVERSAL_LONG,ETHUSDT,12,60,directional_close_extremity,Q2,0.0002,1025,0.0001556588396448375,0.0002731172360248,0.5190243902439025,1.048509946481941,-0.009761290639987182,0.010284367486234463
DOWN_REVERSAL_LONG,ETHUSDT,12,60,directional_close_extremity,Q2,0.0004,1025,-4.434116035516253e-05,7.31172360248e-05,0.511219512195122,0.9865864742618863,-0.00996129063998718,0.010084367486234464
DOWN_REVERSAL_LONG,ETHUSDT,12,60,directional_close_extremity,Q3,0.0,959,-0.0005270410838383483,0.0001850121645499,0.5182481751824818,0.8541016841919763,-0.010390386542834699,0.009009185258366607
DOWN_REVERSAL_LONG,ETHUSDT,12,60,directional_close_extremity,Q3,0.0002,959,-0.0007270410838383481,-1.4987835450100021e-05,0.49635036496350365,0.804089163702269,-0.0105903865428347,0.008809185258366607
DOWN_REVERSAL_LONG,ETHUSDT,12,60,directional_close_extremity,Q3,0.0004,959,-0.0009270410838383482,-0.00021498783545010003,0.4859228362877998,0.7568744367564223,-0.010790386542834698,0.008609185258366608
DOWN_REVERSAL_LONG,ETHUSDT,12,60,directional_close_extremity,Q4,0.0,787,0.00018854416086586906,0.0004262813681388,0.5273189326556544,1.061742164737698,-0.00937258129920914,0.009290833015172476
DOWN_REVERSAL_LONG,ETHUSDT,12,60,directional_close_extremity,Q4,0.0002,787,-1.1455839134130994e-05,0.0002262813681388,0.5146124523506989,0.9963628551441782,-0.00957258129920914,0.009090833015172476
DOWN_REVERSAL_LONG,ETHUSDT,12,60,directional_close_extremity,Q4,0.0004,787,-0.0002114558391341311,2.6281368138800004e-05,0.5031766200762389,0.9348945415421654,-0.009772581299209139,0.008890833015172477
DOWN_REVERSAL_LONG,SOLUSDT,12,60,directional_close_extremity,Q1,0.0,935,0.0005645242986202946,0.0004255117961324,0.5240641711229946,1.1362942783013783,-0.013177911729082899,0.01374926847724796
DOWN_REVERSAL_LONG,SOLUSDT,12,60,directional_close_extremity,Q1,0.0002,935,0.0003645242986202948,0.0002255117961324,0.5155080213903743,1.0860157092528444,-0.0133779117290829,0.01354926847724796
DOWN_REVERSAL_LONG,SOLUSDT,12,60,directional_close_extremity,Q1,0.0004,935,0.00016452429862029444,2.5511796132400002e-05,0.5016042780748663,1.0379400082278227,-0.013577911729082898,0.01334926847724796
DOWN_REVERSAL_LONG,SOLUSDT,12,60,directional_close_extremity,Q2,0.0,1088,0.0008540686898613569,0.00093535407898375,0.5441176470588235,1.228332971198286,-0.01200600375525289,0.014047672745912223
DOWN_REVERSAL_LONG,SOLUSDT,12,60,directional_close_extremity,Q2,0.0002,1088,0.000654068689861357,0.00073535407898375,0.5349264705882353,1.170666305680649,-0.01220600375525289,0.013847672745912223
DOWN_REVERSAL_LONG,SOLUSDT,12,60,directional_close_extremity,Q2,0.0004,1088,0.0004540686898613569,0.0005353540789837499,0.5238970588235294,1.1156311080885617,-0.012406003755252889,0.013647672745912224
DOWN_REVERSAL_LONG,SOLUSDT,12,60,directional_close_extremity,Q3,0.0,1145,-0.00015922762295053882,0.0001210673739935,0.5039301310043668,0.9620613364673684,-0.01263174044584748,0.011739918074152722
DOWN_REVERSAL_LONG,SOLUSDT,12,60,directional_close_extremity,Q3,0.0002,1145,-0.00035922762295053864,-7.893262600650001e-05,0.49344978165938863,0.916399938136458,-0.01283174044584748,0.011539918074152722
DOWN_REVERSAL_LONG,SOLUSDT,12,60,directional_close_extremity,Q3,0.0004,1145,-0.0005592276229505387,-0.0002789326260065,0.485589519650655,0.8728707457912025,-0.013031740445847479,0.011339918074152723
DOWN_REVERSAL_LONG,SOLUSDT,12,60,directional_close_extremity,Q4,0.0,1061,-0.00035561139376755175,9.9999999999989e-05,0.5032987747408105,0.9172515180074499,-0.0126719768283851,0.0115670381627828
DOWN_REVERSAL_LONG,SOLUSDT,12,60,directional_close_extremity,Q4,0.0002,1061,-0.0005556113937675516,-0.00010000000000001101,0.49198868991517436,0.8736583067128594,-0.0128719768283851,0.011367038162782799
DOWN_REVERSAL_LONG,SOLUSDT,12,60,directional_close_extremity,Q4,0.0004,1061,-0.0007556113937675517,-0.00030000000000001103,0.48539114043355325,0.8320860897973565,-0.0130719768283851,0.0111670381627828
UP_CONTINUATION_LONG,BNBUSDT,6,30,abs_return_z,Q1,0.0,1111,-0.00016571790362473646,-0.0002506933237234,0.46804680468046805,0.9140380962997777,-0.0060124148241234,0.0048300600205988
UP_CONTINUATION_LONG,BNBUSDT,6,30,abs_return_z,Q1,0.0002,1111,-0.00036571790362473645,-0.00045069332372340003,0.45184518451845185,0.8203739088480232,-0.0062124148241234,0.0046300600205988005
UP_CONTINUATION_LONG,BNBUSDT,6,30,abs_return_z,Q1,0.0004,1111,-0.0005657179036247365,-0.0006506933237234,0.42844284428442847,0.7365973163359664,-0.0064124148241234006,0.0044300600205988
UP_CONTINUATION_LONG,BNBUSDT,6,30,abs_return_z,Q2,0.0,1110,0.00043327669900278785,0.00036824180144685,0.536036036036036,1.2868890100049746,-0.00463198866381715,0.005935491240826461
UP_CONTINUATION_LONG,BNBUSDT,6,30,abs_return_z,Q2,0.0002,1110,0.00023327669900278782,0.00016824180144684998,0.5225225225225225,1.1454079333569365,-0.004831988663817149,0.005735491240826462
UP_CONTINUATION_LONG,BNBUSDT,6,30,abs_return_z,Q2,0.0004,1110,3.32766990027878e-05,-3.1758198553150026e-05,0.4981981981981982,1.0195477542052815,-0.00503198866381715,0.005535491240826461
UP_CONTINUATION_LONG,BNBUSDT,6,30,abs_return_z,Q3,0.0,1050,9.034355672639248e-05,3.202946588176658e-05,0.5066666666666667,1.0515888468658428,-0.004955743713975449,0.005573567915150831
UP_CONTINUATION_LONG,BNBUSDT,6,30,abs_return_z,Q3,0.0002,1050,-0.00010965644327360746,-0.00016797053411823343,0.4838095238095238,0.9408000616114611,-0.005155743713975449,0.005373567915150831
UP_CONTINUATION_LONG,BNBUSDT,6,30,abs_return_z,Q3,0.0004,1050,-0.00030965644327360755,-0.00036797053411823344,0.4523809523809524,0.8419366478415389,-0.0053557437139754496,0.0051735679151508306
UP_CONTINUATION_LONG,BNBUSDT,6,30,abs_return_z,Q4,0.0,983,0.0009149003589210092,0.0003221026863364,0.5178026449643948,1.4709601411598068,-0.00602015415154144,0.008612085537354364
UP_CONTINUATION_LONG,BNBUSDT,6,30,abs_return_z,Q4,0.0002,983,0.0007149003589210093,0.00012210268633639998,0.5066124109867752,1.3504229808476063,-0.006220154151541439,0.008412085537354364
UP_CONTINUATION_LONG,BNBUSDT,6,30,abs_return_z,Q4,0.0004,983,0.0005149003589210092,-7.789731366360003e-05,0.49643947100712105,1.240617143209228,-0.00642015415154144,0.008212085537354365
UP_CONTINUATION_LONG,BTCUSDT,6,30,abs_return_z,Q1,0.0,855,1.3766333821187186e-05,-9.919650828293936e-05,0.4888888888888889,1.0088266952481242,-0.00485976157050062,0.00478602847699936
UP_CONTINUATION_LONG,BTCUSDT,6,30,abs_return_z,Q1,0.0002,855,-0.0001862336661788128,-0.00029919650828293934,0.47485380116959064,0.8880379781336001,-0.005059761570500619,0.00458602847699936
UP_CONTINUATION_LONG,BTCUSDT,6,30,abs_return_z,Q1,0.0004,855,-0.00038623366617881284,-0.0004991965082829393,0.45380116959064326,0.7818033169527937,-0.00525976157050062,0.004386028476999359
UP_CONTINUATION_LONG,BTCUSDT,6,30,abs_return_z,Q2,0.0,1028,-0.0003571653141854937,-0.00025702730899580003,0.4795719844357977,0.8133966021009816,-0.00557004078508405,0.005111787792450443
UP_CONTINUATION_LONG,BTCUSDT,6,30,abs_return_z,Q2,0.0002,1028,-0.0005571653141854937,-0.0004570273089958,0.46108949416342415,0.724205549037035,-0.00577004078508405,0.004911787792450444
